Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
194,0.04,72.42228942614754,12,15.384615384615385%
195,0.04,72.41469481956028,12,15.384615384615385%
196,0.04,72.40721533130514,12,15.384615384615385%
197,0.04,72.39984738574975,12,15.384615384615385%
198,0.04,72.39258754741765,12,15.384615384615385%
199,0.04,72.38543251501247,12,15.384615384615385%
200,0.04,72.37837911570071,12,15.384615384615385%
201,0.04,72.37142429963333,12,15.384615384615385%
202,0.04,72.36456513470891,12,15.384615384615385%
203,0.04,72.35779880156147,12,15.384615384615385%
204,0.04,72.35112258876954,12,15.384615384615385%
205,0.04,72.34453388827893,12,15.384615384615385%
206,0.04,72.3380301910263,12,15.384615384615385%
207,0.04,72.33160908275912,12,15.384615384615385%
208,0.04,72.32526824004489,12,15.384615384615385%
209,0.04,72.31900542645495,12,15.384615384615385%
210,0.04,72.31281848892503,12,15.384615384615385%
211,0.04,72.30670535427716,12,15.384615384615385%
212,0.04,72.3006640258982,12,15.384615384615385%
213,0.04,72.2946925805691,12,15.384615384615385%
214,0.04,72.28878916543702,12,15.384615384615385%
215,0.04,72.28295199512263,12,15.384615384615385%
216,0.04,72.27717934895773,12,15.384615384615385%
217,0.04,72.27146956834719,12,15.384615384615385%
218,0.04,72.26582105424878,12,15.384615384615385%
219,0.04,72.26023226476364,12,15.384615384615385%
220,0.04,72.25470171283658,12,15.384615384615385%
221,0.04,72.24922796405467,12,15.384615384615385%
222,0.04,72.24380963454809,12,15.384615384615385%
223,0.04,72.23844538897612,12,15.384615384615385%
224,0.04,72.23313393860884,12,15.384615384615385%
225,0.04,72.22787403948601,12,15.384615384615385%
226,0.04,72.2226644906595,12,15.384615384615385%
227,0.04,72.21750413251195,12,15.384615384615385%
228,0.04,72.21239184514363,12,15.384615384615385%
229,0.04,72.20732654683317,12,15.384615384615385%
230,0.04,72.20230719256072,12,15.384615384615385%
231,0.04,72.19733277259542,12,15.384615384615385%
232,0.04,72.19240231114054,12,15.384615384615385%
233,0.04,72.18751486503768,12,15.384615384615385%
234,0.04,72.18266952252186,12,15.384615384615385%
235,0.04,72.17786540203464,12,15.384615384615385%
236,0.04,72.17310165107584,12,15.384615384615385%
237,0.04,72.16837744511476,12,15.384615384615385%
238,0.04,72.16369198653601,12,15.384615384615385%
239,0.04,72.15904450363317,12,15.384615384615385%
240,0.04,72.15443424964366,12,15.384615384615385%
241,0.04,72.14986050181888,12,15.384615384615385%
242,0.04,72.1453225605357,12,15.384615384615385%
243,0.04,72.14081974843972,12,15.384615384615385%
244,0.04,72.13635140962691,12,15.384615384615385%
245,0.04,72.13191690885434,12,15.384615384615385%
246,0.04,72.12751563078201,12,15.384615384615385%
247,0.04,72.12314697924552,12,15.384615384615385%
248,0.04,72.11881037655945,12,15.384615384615385%
249,0.04,72.11450526284115,12,15.384615384615385%
250,0.04,72.11023109536926,12,15.384615384615385%
251,0.04,72.10598734795802,12,15.384615384615385%
252,0.04,72.10177351036357,12,15.384615384615385%
253,0.04,72.09758908770795,12,15.384615384615385%
254,0.04,72.09343359992593,12,15.384615384615385%
255,0.04,72.08930658123452,12,15.384615384615385%
256,0.04,72.08520757962019,12,15.384615384615385%
257,0.04,72.08113615634599,12,15.384615384615385%
258,0.04,72.07709188547769,12,15.384615384615385%
259,0.04,72.07307435342837,12,15.384615384615385%
260,0.04,72.06908315851611,12,15.384615384615385%
261,0.04,72.06511791054301,12,15.384615384615385%
262,0.04,72.06117823038528,12,15.384615384615385%
263,0.04,72.05726374960184,12,15.384615384615385%
264,0.04,72.05337411005391,12,15.384615384615385%
265,0.04,72.04950896354069,12,15.384615384615385%
266,0.04,72.0456679714477,12,15.384615384615385%
267,0.04,72.04185080440784,12,15.384615384615385%
268,0.04,72.03805714197252,12,15.384615384615385%
269,0.04,72.03428667229845,12,15.384615384615385%
270,0.04,72.03053909184223,12,15.384615384615385%
271,0.04,72.02681410506705,12,15.384615384615385%
272,0.04,72.02311142415967,12,15.384615384615385%
273,0.04,72.01943076875784,12,15.384615384615385%
274,0.04,72.01577186568619,12,15.384615384615385%
275,0.04,72.01213444870207,12,15.384615384615385%
276,0.04,72.0085182582495,12,15.384615384615385%
277,0.04,72.00492304122436,12,15.384615384615385%
278,0.04,72.00134855074357,12,15.384615384615385%
279,0.04,71.99779454592523,12,15.384615384615385%
280,0.04,71.99426079167631,12,15.384615384615385%
281,0.04,71.9907470584851,12,15.384615384615385%
282,0.04,71.98725312222507,12,15.384615384615385%
283,0.04,71.98377876396067,12,15.384615384615385%
284,0.04,71.98032376976502,12,15.384615384615385%
285,0.04,71.97688793053756,12,15.384615384615385%
286,0.04,71.97347104183537,12,15.384615384615385%
287,0.04,71.9700729037036,12,15.384615384615385%
288,0.04,71.96669332051708,12,15.384615384615385%
289,0.04,71.96333210082274,12,15.384615384615385%
290,0.04,71.95998905719108,12,15.384615384615385%
291,0.04,71.95666400607178,12,15.384615384615385%
292,0.04,71.95335676765235,12,15.384615384615385%
293,0.04,71.95006716572621,12,15.384615384615385%
294,0.04,71.94679502755913,12,15.384615384615385%
295,0.04,71.94354018376745,12,15.384615384615385%
296,0.04,71.94030246819437,12,15.384615384615385%
297,0.04,71.93708171779384,12,15.384615384615385%
298,0.04,71.9338777725192,12,15.384615384615385%
299,0.04,71.93069047521307,12,15.384615384615385%
300,0.04,71.92751967150457,12,15.384615384615385%
301,0.04,71.92436520970553,12,15.384615384615385%
302,0.04,71.92122694071669,12,15.384615384615385%
303,0.04,71.91810471793329,12,15.384615384615385%
304,0.04,71.9149983971526,12,15.384615384615385%
305,0.04,71.91190783649081,12,15.384615384615385%
306,0.04,71.90883289629708,12,15.384615384615385%
307,0.04,71.90577343907431,12,15.384615384615385%
308,0.04,71.90272932940208,12,15.384615384615385%
309,0.04,71.89970043386184,12,15.384615384615385%
310,0.04,71.89668662096642,12,15.384615384615385%
311,0.04,71.89368776109087,12,15.384615384615385%
312,0.04,71.89070372640698,12,15.384615384615385%
313,0.04,71.88773439082152,12,15.384615384615385%
314,0.04,71.88477962991308,12,15.384615384615385%
315,0.04,71.8818393208759,12,15.384615384615385%
316,0.04,71.8789133424651,12,15.384615384615385%
317,0.04,71.87600157494234,13,16.666666666666664%
318,0.04,71.87310390002403,13,16.666666666666664%
319,0.04,71.87022020083455,13,16.666666666666664%
320,0.04,71.8673503618581,13,16.666666666666664%
321,0.04,71.86449426889627,13,16.666666666666664%
322,0.04,71.86165180902348,13,16.666666666666664%
323,0.04,71.85882287054679,13,16.666666666666664%
324,0.04,71.85600734296911,13,16.666666666666664%
325,0.04,71.85320511695022,13,16.666666666666664%
326,0.04,71.85041608427296,13,16.666666666666664%
327,0.04,71.84764013780973,13,16.666666666666664%
328,0.04,71.84487717148981,13,16.666666666666664%
329,0.04,71.84212708027158,13,16.666666666666664%
330,0.04,71.83938976011096,13,16.666666666666664%
331,0.04,71.83666510793701,13,16.666666666666664%
332,0.04,71.833953021624,13,16.666666666666664%
333,0.04,71.83125339996913,13,16.666666666666664%
334,0.04,71.82856614266898,13,16.666666666666664%
335,0.04,71.82589115029613,13,16.666666666666664%
336,0.04,71.82322832428022,13,16.666666666666664%
337,0.04,71.82057756688994,13,16.666666666666664%
338,0.04,71.81793878121141,13,16.666666666666664%
339,0.04,71.81531187113374,13,16.666666666666664%
340,0.04,71.81269674133205,13,16.666666666666664%
341,0.04,71.81009329725178,13,16.666666666666664%
342,0.04,71.80750144509625,13,16.666666666666664%
343,0.04,71.80492109181102,13,16.666666666666664%
344,0.04,71.80235214507354,13,16.666666666666664%
345,0.04,71.79979451327998,13,16.666666666666664%
346,0.04,71.79724810553543,13,16.666666666666664%
347,0.04,71.79471283164294,13,16.666666666666664%
348,0.04,71.79218860209507,13,16.666666666666664%
349,0.04,71.7896753280646,13,16.666666666666664%
350,0.04,71.78717292139598,13,16.666666666666664%
351,0.04,71.78468129459849,13,16.666666666666664%
352,0.04,71.78220036083968,13,16.666666666666664%
353,0.04,71.77973003393673,13,16.666666666666664%
354,0.04,71.77727022835391,13,16.666666666666664%
355,0.04,71.77482085919405,13,16.666666666666664%
356,0.04,71.7723818421948,13,16.666666666666664%
357,0.04,71.76995309372428,13,16.666666666666664%
358,0.04,71.76753453077617,13,16.666666666666664%
359,0.04,71.76512607096564,13,16.666666666666664%
360,0.04,71.76272763252732,13,16.666666666666664%
361,0.04,71.76033913430972,13,16.666666666666664%
362,0.04,71.75796049577441,13,16.666666666666664%
363,0.04,71.75559163699168,13,16.666666666666664%
364,0.04,71.75323247863825,13,16.666666666666664%
365,0.04,71.75088294199603,13,16.666666666666664%
366,0.04,71.74854294894983,13,16.666666666666664%
367,0.04,71.74621242198418,13,16.666666666666664%
368,0.04,71.7438912841824,13,16.666666666666664%
369,0.04,71.7415794592254,13,16.666666666666664%
370,0.04,71.73927687139017,13,16.666666666666664%
371,0.04,71.73698344554708,13,16.666666666666664%
372,0.04,71.73469910716015,13,16.666666666666664%
373,0.04,71.7324237822855,13,16.666666666666664%
374,0.04,71.73015739756963,13,16.666666666666664%
375,0.04,71.7278998802484,13,16.666666666666664%
376,0.04,71.72565115814731,13,16.666666666666664%
377,0.04,71.72341115967825,13,16.666666666666664%
378,0.04,71.72117981384115,13,16.666666666666664%
379,0.04,71.7189570502201,13,16.666666666666664%
380,0.04,71.71674279898522,13,16.666666666666664%
381,0.04,71.71453699088993,13,16.666666666666664%
382,0.04,71.7123395572704,13,16.666666666666664%
383,0.04,71.71015043004424,13,16.666666666666664%
384,0.04,71.70796954171081,13,16.666666666666664%
385,0.04,71.70579682534802,13,16.666666666666664%
386,0.04,71.70363221461324,13,16.666666666666664%
387,0.04,71.70147564374047,13,16.666666666666664%
388,0.04,71.69932704754098,13,16.666666666666664%
389,0.04,71.69718636140007,13,16.666666666666664%
390,0.04,71.69505352127707,13,16.666666666666664%
391,0.04,71.69292846370388,13,16.666666666666664%
392,0.04,71.69081112578286,13,16.666666666666664%
393,0.04,71.6887014451855,13,16.666666666666664%
