Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
159,0.392307692,76.02676324,1,1.92%
160,0.392307692,76.02595633,1,1.92%
161,0.392307692,76.0252142,1,1.92%
162,0.392307692,76.02452524,1,1.92%
163,0.392307692,76.02388041,1,1.92%
164,0.392307692,76.02327253,1,1.92%
165,0.392307692,76.02269582,1,1.92%
166,0.392307692,76.02214554,1,1.92%
167,0.392307692,76.02161779,1,1.92%
168,0.392307692,76.02110929,1,1.92%
169,0.392307692,76.02061726,1,1.92%
170,0.392307692,76.02013934,1,1.92%
171,0.392307692,76.01967346,1,1.92%
172,0.392307692,76.01921785,1,1.92%
173,0.392307692,76.01877092,1,1.92%
174,0.392307692,76.01833128,1,1.92%
175,0.392307692,76.01789765,1,1.92%
176,0.392307692,76.01746891,1,1.92%
177,0.392307692,76.017044,1,1.92%
178,0.392307692,76.01662196,1,1.92%
179,0.392307692,76.01620189,1,1.92%
180,0.392307692,76.01578295,1,1.92%
181,0.392307692,76.01536432,1,1.92%
182,0.392307692,76.01494524,1,1.92%
183,0.392307692,76.01452496,1,1.92%
184,0.392307692,76.01410275,1,1.92%
185,0.392307692,76.01367789,1,1.92%
186,0.392307692,76.01324967,1,1.92%
187,0.392307692,76.01281736,1,1.92%
188,0.392307692,76.01238024,1,1.92%
189,0.392307692,76.01193758,1,1.92%
190,0.392307692,76.01148861,1,1.92%
191,0.392307692,76.01103256,1,1.92%
192,0.392307692,76.01056861,1,1.92%
193,0.392307692,76.01009591,1,1.92%
194,0.392307692,76.00961357,1,1.92%
195,0.392307692,76.00912064,1,1.92%
196,0.392307692,76.00861611,1,1.92%
197,0.392307692,76.00809892,1,1.92%
198,0.392307692,76.00756792,1,1.92%
199,0.392307692,76.00702186,1,1.92%
200,0.392307692,76.0064594,1,1.92%
201,0.392307692,76.0058791,1,1.92%
202,0.392307692,76.00527937,1,1.92%
203,0.392307692,76.00465846,1,1.92%
204,0.392307692,76.00401448,1,1.92%
205,0.392307692,76.00334532,1,1.92%
206,0.392307692,76.00264865,1,1.92%
207,0.392307692,76.0019219,1,1.92%
208,0.392307692,76.00116217,1,1.92%
