Iteration,Learning Rate,Total Error,Number Correct,Percent Correct
1,0.04,23.329403127230727,9,36.0%
2,0.04,22.117604099543165,10,40.0%
3,0.04,21.740615850111254,10,40.0%
4,0.04,21.531215913895732,10,40.0%
5,0.04,21.361338327405623,10,40.0%
6,0.04,21.216223469404483,10,40.0%
7,0.04,21.094728301351363,11,44.0%
8,0.04,20.991859850060784,12,48.0%
9,0.04,20.900326256395715,12,48.0%
10,0.04,20.813667737551878,12,48.0%
