1.8,2.44,2.11
1.77,2.21,1.97
2.06,2.53,2.27
1.64,2.21,1.9
1.82,2.38,2.08
1.76,2.1,1.93
1.94,2.53,2.26
1.81,2.33,2.08
1.86,2.34,2.08
1.86,2.53,2.21
1.6,2.02,1.79
1.86,2.28,2.06
1.71,2.32,1.99
2.02,2.52,2.26
1.6,1.94,1.76
2.16,2.63,2.39
1.92,2.25,2.09
1.55,2.22,1.9
2.01,2.51,2.26
1.77,2.37,2.05
2.31,2.72,2.51
1.79,2.28,2.02
1.78,2.32,2.03
1.67,1.92,1.79
1.96,2.45,2.19
1.5,1.83,1.65
1.75,2.02,1.88
1.95,2.45,2.19
2.04,2.61,2.31
1.99,2.54,2.24
1.65,2.05,1.82
1.74,2.07,1.9
1.78,2.27,2.01
2.13,2.67,2.4
1.79,2.34,2.04
1.78,2.39,2.07
2.02,2.49,2.22
1.92,2.3,2.11
1.73,2.24,1.97
1.44,2.23,1.91
1.9,2.25,2.06
1.86,2.33,2.08
1.93,2.4,2.16
1.84,2.2,2.01
1.73,1.86,1.84
1.79,2.32,2.05
2.1,2.61,2.34
2.28,2.75,2.53
1.8,2.21,1.99
1.68,2.13,1.9
1.93,2.34,2.11
1.74,2.11,1.91
